id,size,Relative Time (s),time_spent,access_type
8562,11.506542205810547,42830,0,2
8563,59.05015277862549,42831,0,2
8564,0.04731178283691406,42847,0,2
54,4.037049293518066,42853,0,1
5636,2666.320351600647,42854,0,1
6196,16611.423513412476,42857,0,1
8565,2670450.932709694,42858,0,2
8566,7501.493848800659,42862,0,2
30,9.5367431640625e-07,42867,0,1
8567,8.040959358215332,42867,0,2
8568,0.0012483596801757812,42870,0,2
8569,0.09944915771484375,42877,0,2
8570,0.01687908172607422,42878,0,2
8571,5853.092079162598,42901,0,2
5294,6335.62886428833,42903,0,1
359,0.00013828277587890625,42903,0,1
5247,53944.09265899658,42916,0,1
5645,2666.705895423889,42928,0,1
5655,2666.2050590515137,42929,0,1
8572,9682.747301101685,42929,0,2
5665,2666.590602874756,42946,0,1
8573,893928.3189325333,42969,0,2
8574,58839.175753593445,42977,0,2
30,9.5367431640625e-07,42980,0,1
8575,0.9161481857299805,42982,0,2
8576,69.36713123321533,42983,0,2
8577,88.65265560150146,42993,0,2
8578,12072.572926521301,42994,0,2
8579,1080780.2876491547,42999,0,2
8580,0.00531005859375,43007,0,2
5839,182.57577323913574,43007,0,1
8581,461.50658416748047,43009,0,2
1332,0.00011539459228515625,43010,0,1
8582,0.23491573333740234,43016,0,2
8583,0.03023242950439453,43017,0,2
8584,0.058025360107421875,43019,0,2
8585,5.662527084350586,43021,0,2
211,0.00010013580322265625,43021,0,1
8586,70.92088413238525,43022,0,2
8587,185.83101844787598,43024,0,2
8588,400.29026317596436,43025,0,2
8589,217.24560737609863,43026,0,2
8590,0.09659385681152344,43027,0,2
8591,661.3948888778687,43028,0,2
8592,2.857794761657715,43028,0,2
8593,2722.854206085205,43029,0,2
8594,11.220428466796875,43030,0,2
8595,1916.3253622055054,43030,0,2
8595,1916.3253622055054,43030,0,1
8596,97373.47378253937,43032,0,2
8597,374507.3011455536,43034,0,2
8598,69.03709697723389,43035,0,2
8599,68.71504878997803,43036,0,2
8589,217.24560737609863,43036,0,1
8588,400.29026317596436,43037,0,1
8600,58691.80873012543,43037,0,2
8591,661.3948888778687,43037,0,1
8594,11.220428466796875,43038,0,1
8592,2.857794761657715,43039,0,1
5269,0.005362510681152344,43040,0,1
8601,19727.629051208496,43041,0,2
8449,39.02431583404541,43049,0,1
8578,12072.572926521301,43054,0,1
1317,0.0029144287109375,43055,0,1
4628,0.0006265640258789062,43055,0,1
20,0.0002880096435546875,43058,0,1
8602,0.40975379943847656,43058,0,2
8603,68.75475120544434,43062,0,2
8604,11027.231816291809,43068,0,2
6105,1128125.8398447037,43069,0,1
5666,2666.253255844116,43070,0,1
