id,size,Relative Time (s),time_spent,Access Type
4622,1.0906953811645508,21313,0,2
4623,5.145636558532715,21315,0,2
4624,10198.029101371763,21316,0,2
470,0.0,21317,0,1
27,7.43865966796875e-05,21320,0,1
67,0.0002403259277343,21320,0,1
4625,3.423643112182617,21320,0,2
1019,8.702406883239746,21321,0,2
4626,0.5213146209716797,21322,0,2
163,0.009918212890625,21323,0,1
1020,0.0024032592773437,21323,0,2
1021,0.0005626678466796,21332,0,2
30,9.5367431640625e-07,21339,0,1
4627,0.0007619857788085,21340,0,2
4628,0.0006265640258789,21341,0,2
4629,44537.14298439026,21344,0,2
939,0.0001325607299804,21346,0,1
1022,8.728048324584961,21350,0,2
1023,0.0031299591064453,21351,0,2
4631,280888.6907892227,21356,0,2
4630,0.0623397827148437,21356,0,2
4632,1.2636661529541016,21362,0,2
4633,0.3727684020996094,21363,0,2
30,9.5367431640625e-07,21366,0,1
4634,0.2342042922973632,21366,0,2
4635,0.4779052734375,21366,0,2
4636,0.4549026489257812,21367,0,2
47,14.015666007995604,21367,0,1
4637,122005.57811355592,21377,0,2
4638,0.0280332565307617,21381,0,2
4639,242.6649522781372,21388,0,2
4640,0.5613803863525391,21389,0,2
4641,0.0005559921264648,21390,0,2
1024,8.694674491882324,21393,0,2
4538,885350.3837480545,21398,0,1
4642,0.0297145843505859,21405,0,2
4643,0.0007581710815429,21429,0,2
54,4.037049293518066,21430,0,1
4644,2.581805229187012,21431,0,2
166,0.0505218505859375,21435,0,1
4645,0.0099554061889648,21436,0,2
620,0.0733575820922851,21445,0,2
4631,280888.6907892227,21445,0,1
621,0.0195627212524414,21450,0,2
67,0.0002403259277343,21452,0,1
1025,949921.995850563,21457,0,2
4646,4279.951965332031,21465,0,2
4647,0.1069154739379882,21479,0,2
4648,870.4589157104492,21499,0,2
1026,761.2684230804443,21500,0,2
4649,0.0138530731201171,21507,0,2
4650,0.2024259567260742,21508,0,2
4651,0.4147405624389648,21511,0,2
4652,0.3770198822021484,21512,0,2
1026,761.2684230804443,21525,0,1
4653,5.064234733581543,21525,0,2
603,11329.467540740969,21526,0,1
4654,121751.05130004884,21532,0,2
4655,254878.3623981476,21546,0,2
4387,16.125971794128418,21547,0,1
1027,142.89190673828125,21551,0,2
149,0.0504379272460937,21552,0,1
622,0.0007171630859375,21554,0,2
