ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
199,114.070473,0.943938,0.169748,3.238727,9,6,0.880955,0.142945,7.045445
200,227.328674,1.881155,0.338287,6.446534,9,6,1.755638,0.284873,14.400646
201,671.774841,5.558966,0.999665,19.153804,9,6,5.188054,0.841823,41.249488
202,722.662537,5.980064,1.075391,20.604726,9,6,5.581055,0.905592,44.374183
203,522.261536,4.321737,0.777175,14.890845,9,6,4.033377,0.654463,32.068812
204,314.926819,2.606033,0.468641,8.979268,9,6,2.432150,0.394645,19.337685
205,672.475281,5.564762,1.000707,19.173775,9,6,5.193463,0.842701,41.292498
206,736.054993,6.090887,1.095320,20.986575,9,6,5.684483,0.922375,45.196530
207,796.987854,6.595109,1.185994,22.723907,9,6,6.155062,0.998732,48.938036
208,792.424622,6.557348,1.179203,22.593799,9,6,6.119821,0.993013,48.657836
209,800.438049,6.623660,1.191128,22.822280,9,6,6.181707,1.003055,49.149891
210,701.961060,5.808758,1.044585,20.014480,9,6,5.421179,0.879650,43.103035
211,347.327515,2.874150,0.516856,9.903084,9,6,2.682378,0.435248,21.327209
213,595.524902,4.927994,0.886198,16.979747,9,6,4.599183,0.746272,36.567457
214,671.560913,5.557196,0.999347,19.147704,9,6,5.186402,0.841555,41.236352
215,728.925232,6.051610,1.104432,20.783289,9,6,5.800691,1.084710,44.758736
216,533.509460,4.414814,0.793913,15.211548,9,6,4.120243,0.668558,32.759477
217,535.625488,4.432324,0.797062,15.271881,9,6,4.136585,0.671210,32.889409
218,774.443420,6.408553,1.152446,22.081115,9,6,5.980953,0.970480,47.553723
219,629.609192,5.210043,0.936918,17.951567,9,6,4.862412,0.788984,38.660360
220,505.773682,4.185299,0.752639,14.420739,9,6,3.906042,0.633802,31.056396
221,317.060791,2.623692,0.471817,9.040112,9,6,2.448631,0.397319,19.468719
222,374.883942,3.102181,0.557863,10.688780,9,6,2.895193,0.469779,23.019276
223,762.778809,6.312028,1.135088,21.748530,9,6,5.890869,0.955863,46.837472
224,785.162842,6.497257,1.168397,22.386749,9,6,6.063738,0.983913,48.211936
225,689.487061,5.705535,1.026022,19.658819,9,6,5.324843,0.864019,42.337085
226,766.509155,6.342897,1.140639,21.854891,9,6,5.919678,0.960538,47.066530
227,683.079102,5.652509,1.016487,19.476113,9,6,5.275355,0.855989,41.943612
228,740.671509,6.129089,1.102190,21.118202,9,6,5.720136,0.928160,45.480001
229,841.977661,6.967402,1.252943,24.006667,9,6,6.502514,1.055110,51.700578
230,761.103027,6.298161,1.132594,21.700750,9,6,5.877927,0.953763,46.734573
231,430.575836,3.563034,0.640738,12.276680,9,6,3.325297,0.539569,26.438967
232,797.242737,6.597218,1.186373,22.731174,9,6,6.157030,0.999051,48.953687
233,161.807755,1.343344,0.245163,4.588507,9,6,1.287645,0.240785,10.250076
234,766.703430,6.344504,1.140928,21.860430,9,6,5.921178,0.960781,47.078459
235,625.460815,5.175715,0.930745,17.833287,9,6,4.830375,0.783785,38.405634
236,46.206738,0.382363,0.068760,1.320068,9,6,0.356850,0.057903,2.951011
237,264.615509,2.189705,0.393773,7.503906,9,6,2.043601,0.331598,16.762664
238,689.232483,5.703429,1.025644,19.651560,9,6,5.322877,0.863700,42.321453
239,80.216721,0.663797,0.119370,2.277540,9,6,0.619506,0.100522,4.954503
240,805.805237,6.668073,1.199115,22.975310,9,6,6.223158,1.009781,49.479456
241,176.722519,1.462387,0.262980,5.011456,9,6,1.364811,0.221457,11.194885
242,596.764465,4.938252,0.888042,17.015090,9,6,4.608756,0.747825,36.643571
243,774.015076,6.405008,1.151808,22.068901,9,6,5.977645,0.969944,47.527421
244,662.521240,5.482392,0.985895,18.889963,9,6,5.116589,0.830227,40.681283
245,377.530487,3.124081,0.561801,10.764239,9,6,2.915632,0.473096,23.181784
246,405.798004,3.357996,0.603866,11.570209,9,6,3.133940,0.508519,24.917516
247,766.119568,6.339673,1.140059,21.843783,9,6,5.916669,0.960050,47.042607
248,720.806824,5.964708,1.072629,20.551815,9,6,5.566723,0.903267,44.260235
249,778.062256,6.438499,1.157831,22.184296,9,6,6.008901,0.975015,47.775933
250,692.047424,5.726723,1.029832,19.731820,9,6,5.344617,0.867227,42.494301
251,324.324432,2.683799,0.482626,9.247215,9,6,2.504727,0.406422,19.914733
252,117.786896,0.974692,0.175278,3.344245,9,6,0.909657,0.147603,7.274986
253,177.432159,1.468259,0.264036,5.031580,9,6,1.370292,0.222346,11.239839
254,172.785156,1.429805,0.257121,4.899802,9,6,1.334403,0.216523,10.945464
255,359.141174,2.971909,0.534436,10.239918,9,6,2.773613,0.450052,22.052612
257,796.291565,6.589347,1.184958,22.704054,9,6,6.149685,0.997859,48.895281
258,799.372131,6.614839,1.189542,22.791888,9,6,6.173475,1.001719,49.084439
259,812.274841,6.721610,1.208742,23.159773,9,6,6.273122,1.017888,49.876714
260,773.508484,6.400816,1.151054,22.054457,9,6,5.973733,0.969309,47.496315
261,82.968697,0.686570,0.123465,2.355675,9,6,0.640759,0.103971,5.124476
262,204.610825,1.693163,0.304480,5.802307,9,6,1.580190,0.256405,12.961533
263,776.658997,6.426887,1.155743,22.144286,9,6,5.998064,0.973257,47.689768
264,382.023376,3.161260,0.568487,10.892341,9,6,2.950330,0.478726,23.457664
265,387.395599,3.205715,0.576482,11.045515,9,6,2.991820,0.485458,23.787539
266,352.583496,2.917644,0.524678,10.052944,9,6,2.722969,0.441834,21.649946
268,621.199524,5.140453,0.924404,17.711788,9,6,4.797465,0.778446,38.143975
269,196.366074,1.624938,0.292211,5.568504,9,6,1.516517,0.246073,12.439251
270,728.839966,6.031182,1.084583,20.780858,9,6,5.628762,0.913333,44.753500
271,570.354492,4.719708,0.848742,16.262083,9,6,4.404794,0.714730,35.021899
272,113.139412,0.936234,0.168362,3.212292,9,6,0.873765,0.141779,6.987939
273,769.222717,6.365351,1.144677,21.932261,9,6,5.940634,0.963938,47.233152
274,531.543213,4.398543,0.790987,15.155486,9,6,4.105058,0.666094,32.638742
275,683.414490,5.655285,1.016986,19.485676,9,6,5.277946,0.856409,41.964206
276,720.079224,5.958687,1.071546,20.531070,9,6,5.561104,0.902355,44.215558
277,811.779236,6.717508,1.208005,23.145642,9,6,6.269294,1.017267,49.846282
278,290.821594,2.406561,0.432770,8.247052,9,6,2.245988,0.364438,18.422748
279,44.747993,0.370292,0.066589,1.278393,9,6,0.345585,0.056075,2.857847
280,657.917480,5.444296,0.979044,18.758699,9,6,5.081035,0.824458,40.398595
281,47.462715,0.392756,0.070629,1.355950,9,6,0.366550,0.059477,3.031224
282,616.168884,5.098824,0.916918,17.568353,9,6,4.758614,0.772141,37.835075
283,120.178474,0.994482,0.178837,3.412147,9,6,0.928127,0.150600,7.422700
284,752.575806,6.227597,1.119904,21.457620,9,6,5.812072,0.943077,46.210970
285,430.802734,3.564911,0.641075,12.283150,9,6,3.327049,0.539853,26.452900
286,205.510895,1.700612,0.305820,5.827831,9,6,1.587141,0.257532,13.018550
287,484.168121,4.006512,0.720488,13.804716,9,6,3.739185,0.606727,29.729734
288,64.818451,0.536375,0.096456,1.851781,9,6,0.500587,0.081226,4.139655
289,613.585693,5.077448,0.913074,17.494701,9,6,4.738664,0.768904,37.676457
290,825.544922,6.831420,1.228489,23.538133,9,6,6.375605,1.034517,50.691547
291,735.559326,6.086785,1.094582,20.972442,9,6,5.680655,0.921754,45.166094
292,35.401581,0.292950,0.052681,1.011378,9,6,0.273403,0.044363,2.260935
293,357.586700,2.959045,0.532123,10.195597,9,6,2.761608,0.448104,21.957161
