ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
177281,241.505478,1.719436,0.365917,4.985959,7,6,1.575507,0.359383,15.300927
177282,746.081116,6.260811,0.968937,20.761220,10,7,5.890418,0.951634,49.386088
177283,160.001343,1.025507,0.204083,3.192304,8,7,0.955253,0.171860,10.865720
177284,764.758301,4.991422,0.772483,14.329433,10,9,4.696126,0.758689,58.027411
177285,635.918091,4.669322,0.722634,14.805519,10,8,4.393082,0.709730,45.172693
177286,325.930115,2.093215,0.493834,6.777011,7,6,2.007887,0.485015,20.046671
177287,747.086121,4.876079,0.754632,13.998306,10,9,4.587607,0.741157,56.686502
177288,760.978882,6.676779,1.152998,21.697210,9,6,6.263319,1.132409,46.726950
177289,798.503662,6.700720,1.037018,22.219984,10,7,6.304301,1.018500,52.856146
177290,497.750549,3.248717,0.502778,9.326454,10,9,3.056520,0.493800,37.767718
177291,693.854858,4.528650,0.700863,13.000901,10,9,4.260732,0.688348,52.647485
177292,442.438019,2.984050,0.502770,8.593215,9,8,2.805087,0.493792,31.451391
177293,399.484039,2.693195,0.453959,7.758945,9,8,2.512530,0.445853,28.397941
177294,428.236176,3.593585,0.556151,11.916540,10,7,3.380986,0.546220,28.346662
177295,764.436401,5.110067,0.868678,14.847201,9,8,4.775339,0.853166,54.341143
177296,774.695740,5.056282,0.782521,14.515633,10,9,4.757149,0.768547,58.781432
177297,223.219742,1.625705,0.332172,5.469229,8,6,1.505062,0.279724,14.141382
177298,726.157288,4.224336,0.632541,14.601298,8,7,4.026919,0.610216,48.141537
177299,729.356262,5.355405,0.828814,16.980958,10,8,5.038576,0.814014,51.810110
177300,730.638367,4.768728,0.738019,13.690121,10,9,4.486607,0.724840,55.438500
177301,729.981506,4.764441,0.737355,13.677813,10,9,4.482574,0.724188,55.388659
177302,409.629852,3.437448,0.531987,11.398781,10,7,3.234086,0.522487,27.115035
177303,135.671234,1.034365,0.246675,2.879623,6,5,0.949312,0.242270,7.754630
177304,434.470123,2.835698,0.438859,8.140756,10,9,2.667936,0.431022,32.966202
177305,728.761414,5.420922,1.104184,17.965817,8,6,5.203994,1.084466,44.785954
177306,709.068176,4.627944,0.716230,13.285956,10,9,4.354152,0.703441,53.801823
177307,399.961273,2.936774,0.454501,9.311945,10,8,2.763033,0.446385,28.411407
177308,632.140564,5.563943,1.149346,16.017017,7,5,5.312337,1.128822,35.820017
177309,17.478285,0.195921,0.052964,0.466758,5,3,0.178716,0.052019,0.851007
177310,710.712097,4.689704,0.807627,13.803745,9,8,4.387195,0.793205,50.522068
177311,649.470520,4.378525,0.738035,12.614286,9,8,4.084805,0.724855,46.168616
177312,77.174896,0.751580,0.140318,2.241669,8,5,0.701204,0.137812,4.421662
177313,395.575562,2.904571,0.449518,9.209836,10,8,2.732735,0.441491,28.099866
177314,496.520325,3.693387,0.752304,12.240485,8,6,3.545589,0.738870,30.513603
177315,213.424255,1.408686,0.317596,4.406213,7,6,1.298366,0.267449,13.521801
177316,167.979218,1.274400,0.305417,3.584495,6,5,1.162305,0.299963,9.877631
177317,709.110168,5.909382,1.074409,17.481364,8,6,5.661180,1.055223,43.578289
177318,617.858337,4.536715,0.702112,14.385050,10,8,4.268320,0.689574,43.889811
177319,508.394958,3.004409,0.605232,10.919329,6,5,2.850502,0.598112,28.834022
177320,713.402405,5.238261,0.810685,16.609518,10,8,4.928363,0.796208,50.676822
177321,13.907376,0.105510,0.025286,0.299912,6,5,0.096230,0.024835,0.801809
177322,615.512817,5.402434,1.119114,15.595707,7,5,4.983075,1.099130,34.877812
177323,658.825867,5.404401,1.176475,16.693162,7,5,5.135207,0.990716,37.332130
177324,644.510742,4.732414,0.732399,15.005574,10,8,4.452442,0.719320,45.783075
177325,656.582947,4.332527,0.746117,12.752426,9,8,4.053058,0.732793,46.674214
177326,644.928589,4.255625,0.732873,12.526071,9,8,3.981116,0.719786,45.845746
177327,643.307678,4.338827,0.731031,12.494589,9,8,4.078615,0.717977,45.730521
177328,197.070724,1.918299,0.358310,5.725174,8,5,1.774602,0.351912,11.586479
177329,192.133957,1.823822,0.349334,5.581754,8,5,1.709289,0.343096,11.296229
177330,575.860840,3.758527,0.581678,10.790023,10,9,3.536170,0.571291,43.694476
177331,27.784441,0.301987,0.084195,0.741984,5,3,0.275017,0.082692,1.352807
177332,15.776138,0.113755,0.035215,0.350287,5,4,0.101236,0.029654,0.838368
177333,85.663475,0.649899,0.155752,1.818208,6,5,0.592735,0.152970,4.896311
177334,633.701294,4.653044,0.720115,14.753907,10,8,4.377767,0.707256,45.015222
177335,579.013611,4.423500,0.751966,13.877408,9,7,4.133744,0.738538,38.356840
177336,558.005249,4.682554,0.724682,15.527628,10,7,4.405532,0.711741,36.936595
177337,587.849060,4.316368,0.668010,13.686370,10,8,4.061009,0.656082,41.758090
177338,643.579590,4.725577,0.731340,14.983895,10,8,4.446009,0.718281,45.716931
177339,588.327087,3.839891,0.594270,11.023606,10,9,3.612721,0.583658,44.640375
177340,153.604187,1.229705,0.349100,3.384287,5,4,1.117601,0.342866,8.332867
177341,478.632416,4.016490,0.621601,13.318917,10,7,3.778872,0.610501,31.682591
177342,462.266693,3.017121,0.466936,8.661586,10,9,2.838626,0.458598,35.075316
177343,96.861305,0.660701,0.172967,2.055882,6,5,0.599748,0.145656,5.536351
177344,85.945663,0.721221,0.111618,2.383965,10,7,0.678553,0.109625,5.692515
177345,33.345848,0.227455,0.059546,0.721858,6,5,0.206472,0.050144,1.970919
177346,515.204041,3.272938,0.657148,10.359529,8,7,3.049675,0.553388,34.156119
177347,747.784302,4.880636,0.755338,14.011388,10,9,4.591895,0.741850,56.739478
177348,646.402161,4.218935,0.652931,12.111770,10,9,3.969341,0.641272,49.046926
177349,581.963135,4.273149,0.661322,13.549334,10,8,4.020347,0.649512,41.339981
177350,675.850647,4.411140,0.682677,12.663552,10,9,4.150174,0.670487,51.281383
177351,665.222290,4.341771,0.671942,12.464407,10,9,4.084909,0.659943,50.474937
177352,22.442183,0.184346,0.051005,0.498298,5,4,0.166604,0.050094,1.192612
177353,48.746140,0.369820,0.088629,1.055237,6,5,0.337291,0.087047,2.881159
177354,508.799408,3.735934,0.578181,11.845927,10,8,3.514914,0.567856,36.142767
177355,205.095688,1.721080,0.266358,5.673803,10,7,1.619260,0.261602,13.926200
